Product ID,Batch,Qty,D1,D2,D3
1459,B#-KHI-JULY21-01-06052021,144,NO,NO,NO
1459,B#-DEC-20-2-01072020,1,NO,NO,NO
1459,B#-KHI-JULY21-04-31072021-01,144,NO,NO,NO
1460,B#-KHI-JULY21-01-06052021,144,NO,NO,NO
1460,B#-KHI-JULY21-04-31072021-01,144,NO,NO,NO
1461,B#-KHI-JULY21-01-06052021,144,NO,NO,NO
1461,B#-JUNE-20-1-20122,1,NO,NO,NO
1461,B#-KHI-JULY21-04-31072021-01,144,NO,NO,NO
1462,B#-KHI-JULY21-01-06052021,144,NO,NO,NO
1462,B#-KHI-JULY21-04-31072021-01,144,NO,NO,NO
1463,B#-KHI-JULY21-01-06052021,144,NO,NO,NO
1463,B#-DEC-20-2-01052020-ADJ,1,NO,NO,NO
1463,B#-KHI-JULY21-04-31072021-01,144,NO,NO,NO
1464,B#-JUNE-20-1-2009505,1,NO,NO,NO
3223,B#-APR21-3-07042021,65,NO,NO,NO
3223,B#-APR21-3-01082020,72,NO,NO,NO
3890,B#-KHI-AUG21-04-09082021,20,NO,NO,NO
2758,B#-KHI-JULY21-02-19072021-dj,4,NO,NO,NO
2758,B#-KHI-JULY21-02-19072021,2,NO,NO,NO
2758,B#-KHI-JULY21-04-31072021-01,24,NO,NO,NO
3846,B#-KHI-JULY21-03-27072021-dj,3,NO,NO,NO
3846,B#-KHI-JULY21-03-27072021,23,NO,NO,NO
3846,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
3708,B#-KHI-JULY21-04-31072021-01,46,NO,NO,NO
1435,B#-NOV-20-1-01112020,1,NO,NO,NO
3663,B#-KHI-AUG21-02-06082021-01,48,NO,NO,NO
3663,B#-KHI-JUNE21-01-07062021,45,NO,NO,NO
3664,B#-KHI-JUNE21-01-07062021,38,NO,NO,NO
3707,B#-KHI-AUG21-02-06082021-01,48,NO,NO,NO
3707,B#-KHI-JULY21-01-06052021,48,NO,NO,NO
3665,B#-KHI-JUNE21-01-07062021,48,NO,NO,NO
3705,B#-KHI-JULY21-01-06052021,48,NO,NO,NO
3710,B#-KHI-JUN21-04-18082021-dj,21,NO,NO,NO
3710,B#-KHI-JUN21-04-18082021,212,NO,NO,NO
3710,B#-KHI-JUN21-05-23082021,8,NO,NO,NO
3709,B#-KHI-AUG21-02-06082021-01,48,NO,NO,NO
3709,B#-KHI-JULY21-01-06052021,47,NO,NO,NO
3792,B#-KHI-JULY21-02-19072021,48,NO,NO,NO
3792,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
3712,B#-KHI-JULY21-01-06052021,48,NO,NO,NO
3712,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
1440,B#-KHI-AUG21-02-06082021-01,48,NO,NO,NO
1440,B#-KHI-JULY21-02-19072021,44,NO,NO,NO
3706,B#-KHI-JULY21-01-06052021,48,NO,NO,NO
3706,B#-KHI-JULY21-04-31072021-01,96,NO,NO,NO
1446,B#-DEC-20-2-30122020,16,NO,NO,NO
3593,B#-KHI-MAY21-02-20052021,43,NO,NO,NO
3593,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
2945,B#-MARCH-21-3-01112020,38,NO,NO,NO
2945,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
3711,B#-KHI-JULY21-01-06052021,48,NO,NO,NO
3711,BB#-KHI-JULY21-04-31072021-01#-KHI-JULY21-04-31072021,48,NO,NO,NO
3666,B#-KHI-JULY21-01-06052021,48,NO,NO,NO
3666,B#-KHI-JULY21-02-19072021,48,NO,NO,NO
3666,B#-KHI-JULY21-04-31072021-01,96,NO,NO,NO
2957,B#-KHI-JULY21-02-19072021,62,NO,NO,NO
2957,B#-KHI-JULY21-04-31072021-01,144,NO,NO,NO
3714,B#-KHI-JULY21-02-19072021,63,NO,NO,NO
3714,B#-KHI-JULY21-04-31072021-01,72,NO,NO,NO
3713,B#-KHI-JULY21-01-06052021,63,NO,NO,NO
3713,B#-KHI-JULY21-01-06052021-djj,69,NO,NO,NO
3715,B#-KHI-JULY21-01-06052021,71,NO,NO,NO
3715,B#-KHI-JULY21-01-06052021-djj,2,NO,NO,NO
3715,B#-KHI-JULY21-04-31072021-01,72,NO,NO,NO
3718,B#-KHI-JUN21-05-23082021-dj,122,NO,NO,NO
3718,B#-KHI-JUN21-05-23082021-djj,139,NO,NO,NO
3718,B#-KHI-JUN21-04-18082021,73,NO,NO,NO
3718,B#-KHI-JUN21-05-23082021,27,NO,NO,NO
3719,B#-KHI-JUN21-05-23082021-dj,152,NO,NO,NO
3719,B#-KHI-JUN21-04-18082021,44,NO,NO,NO
3719,B#-KHI-JUN21-05-23082021,40,NO,NO,NO
3720,B#-KHI-JULY21-02-19072021,46,NO,NO,NO
3720,B#-KHI-JULY21-04-31072021-01,96,NO,NO,NO
3716,B#-KHI-JUN21-05-23082021-dj,6,NO,NO,NO
3716,B#-KHI-JUN21-05-23082021-djj,49,NO,NO,NO
3716,B#-KHI-JUN21-04-18082021,32,NO,NO,NO
3716,B#-KHI-JUN21-05-23082021,41,NO,NO,NO
3716,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
2946,B#-KHI-JULY21-01-06052021,37,NO,NO,NO
2946,B#-KHI-JULY21-04-31072021-01,96,NO,NO,NO
3857,B#-KHI-JULY21-04-31072021-01,35,NO,NO,NO
1448,B#-18122020ADJ-ADJ,1,NO,NO,NO
3667,ADJ-B#-KHI-JUN21-04-18082021,46,NO,NO,NO
3667,B#-KHI-JUN21-04-18082021-dj,1,NO,NO,NO
3667,B#-KHI-JUN21-04-18082021-djj,3,NO,NO,NO
3667,B#-KHI-JUN21-04-18082021,44,NO,NO,NO
3717,B#-KHI-JUN21-05-23082021-dj,4,NO,NO,NO
3717,B#-KHI-JUN21-05-23082021-djj,2,NO,NO,NO
3717,B#-KHI-JUN21-05-23082021,34,NO,NO,NO
3717,B#-KHI-JULY21-04-31072021-01,144,NO,NO,NO
883,B#-KHI-JULY21-01-06052021,9,NO,NO,NO
916,B#-KHI-JULY21-01-06052021,92,NO,NO,NO
916,B#-KHI-JULY21-04-31072021-01,96,NO,NO,NO
917,B#-NOV-20-1-01112020-ADJ,2,NO,NO,NO
885,B#-MARCH-21-3-20253,38,NO,NO,NO
885,B#-MARCH-21-3-20253-dj,72,NO,NO,NO
885,B#-MARCH-21-3-20253-djj,24,NO,NO,NO
887,B#-1930604-ADJ,12,NO,NO,NO
2792,B#-KHI-JULY21-04-31072021-01,3,NO,NO,NO
910,B#-KHI-JULY21-04-31072021-01,3,NO,NO,NO
895,B#-KHI-JULY21-03-27072021,2,NO,NO,NO
957,B#-MARCH-21-3-01122020,46,NO,NO,NO
2559,B#-KHI-JULY21-04-31072021-01-djj,1,NO,NO,NO
2559,B#-KHI-JULY21-03-27072021,12,NO,NO,NO
2559,B#-KHI-JULY21-04-31072021-01,90,NO,NO,NO
1505,B#-KHI-21-JAN-1-2029401,2,NO,NO,NO
1505,B#-KHI-JULY21-01-06052021,50,NO,NO,NO
1505,B#-KHI-JULY21-01-06052021-dj,1,NO,NO,NO
1505,B#-KHI-JULY21-01-06052021-djj,3,NO,NO,NO
1505,B#-KHI-JULY21-04-31072021-01-djj,4,NO,NO,NO
1505,B#-KHI-21-JAN-3-2029401,1,NO,NO,NO
